year,city,parameter,station_name,count,mean,std,min,25%,50%,75%,max
2021,Firenze,no2 µg/m³,FI-BASSI,5827.0,18.870430753389392,16.730067404995612,0.0,7.0,13.0,26.0,337.0
2021,Firenze,no2 µg/m³,FI-MOSSE,6248.0,30.522247119078106,18.21948300620405,2.0,17.0,26.0,40.0,134.0
2021,Firenze,no2 µg/m³,FI-SCANDICCI,6109.0,20.24553936814536,17.138748148724275,0.0,7.0,15.0,29.0,237.0
2021,Firenze,no2 µg/m³,FI-SETTIGNANO,5892.0,5.729463679565512,7.099252282805249,0.0,2.0,4.0,7.0,74.0
2021,Firenze,o3 µg/m³,FI-SETTIGNANO,6137.0,59.601352452338276,27.46812766844418,0.0,40.0,56.0,77.0,153.0
2021,Milano,no2 µg/m³,LIMITO,6325.0,32.794496442687745,18.759849817303987,4.53,16.6,29.4,45.8,106.0
2021,Milano,no2 µg/m³,MILANO - SENATO,5941.0,42.3736509005218,19.596158002782797,4.25,26.8,40.4,55.7,152.0
2021,Milano,no2 µg/m³,MILANO - V.LE MARCHE,6203.0,46.34093019506691,23.1428905336595,2.05,28.0,45.6,62.4,145.0
2021,Milano,no2 µg/m³,MILANO - VERZIERE,5958.0,36.60489929506546,21.93985269453997,3.5,18.4,31.9,52.2,130.0
2021,Milano,no2 µg/m³,MILANO PASCAL CITT� STUDI,6225.0,35.251351004016065,22.71509082197249,2.03,16.2,30.3,51.9,125.0
2021,Milano,no2 µg/m³,S. GIULIANO,5712.0,35.88563900560224,18.653487565758194,3.91,20.9,33.7,47.6,124.0
2021,Milano,no2 µg/m³,SESTO S.GIOVANNI,6357.0,44.891137328928735,28.4253227740267,2.95,22.2,39.8,62.9,383.0
2021,Milano,o3 µg/m³,LIMITO,5763.0,48.47448551101857,41.05230788652093,2.0,8.94,42.5,76.65,192.0
2021,Milano,o3 µg/m³,MILANO PASCAL CITT� STUDI,6149.0,45.451730362660605,38.0727244152935,2.0,7.24,40.7,73.3,182.0
2021,Napoli,no2 µg/m³,IT0898A,6068.0,41.94979070533949,23.956171510880935,1.37,23.2,38.5,57.225,169.0
2021,Napoli,no2 µg/m³,IT1495A,6132.0,40.54478147423353,23.69844242592684,1.75,21.7,36.7,56.025,134.0
2021,Napoli,no2 µg/m³,IT1496A,6426.0,35.223303765950824,21.9298545486084,0.01,18.8,30.6,47.1,131.0
2021,Napoli,no2 µg/m³,IT1497A,6121.0,19.927480803790232,18.25580804327062,0.0,6.78,14.1,27.6,114.0
2021,Napoli,no2 µg/m³,NA07 ENTE FERROVIE,6360.0,47.755628930817615,27.918242251796322,0.0,25.9,44.1,65.4,192.0
2021,Napoli,no2 µg/m³,NA09 I.T.I.S. ARGINE,6139.0,38.80596514090243,24.36394637809026,0.0,17.9,35.4,56.45,145.0
2021,Napoli,o3 µg/m³,IT1497A,6122.0,35.957512250898404,15.880948582798577,0.02,25.3,36.3,46.2,133.0
2021,Napoli,pm10 µg/m³,IT0898A,6328.0,27.37270859671302,19.168168851907534,0.0,16.0,23.7,33.5,377.0
2021,Napoli,pm10 µg/m³,NA07 ENTE FERROVIE,6418.0,30.728607042692428,22.758913259048445,0.0,17.4,26.1,37.6,458.0
2021,Napoli,pm10 µg/m³,NA09 I.T.I.S. ARGINE,6424.0,33.65538605230386,24.100871216728954,0.0,18.2,27.6,41.7,500.0
2021,Napoli,pm25 µg/m³,IT0898A,6325.0,15.988363636363635,11.946168549162639,0.0,8.8,13.7,20.2,224.0
2021,Napoli,pm25 µg/m³,NA09 I.T.I.S. ARGINE,6424.0,19.92154420921544,17.386072109339814,0.0,9.4,15.7,25.0,268.0
2021,Roma,no2 µg/m³,ARENULA,993.0,42.943605236656595,17.78457678055229,5.0,31.0,41.0,54.0,96.0
2021,Roma,no2 µg/m³,BUFALOTTA,917.0,43.22464558342421,18.921283821447282,4.0,31.0,42.0,53.0,100.0
2021,Roma,no2 µg/m³,C.SO FRANCIA,993.0,50.50855991943605,19.657659213823482,8.0,36.0,48.0,64.0,120.0
2021,Roma,no2 µg/m³,CIPRO,6821.0,33.47500366515174,19.844789931071187,1.0,18.0,29.0,46.0,108.0
2021,Roma,no2 µg/m³,Fermi,5636.0,48.010734563520224,23.57542070676867,1.0,30.0,45.0,64.0,139.0
2021,Roma,no2 µg/m³,IT1176A,5634.0,26.5040823571175,19.59979677824712,1.0,11.0,21.0,38.0,146.0
2021,Roma,no2 µg/m³,IT1835A,5290.0,33.04007561436673,18.71137670160942,1.0,20.0,29.0,42.0,126.0
2021,Roma,no2 µg/m³,IT1906A,5261.0,31.01729709180764,18.694834822557493,1.0,16.0,27.0,43.0,104.0
2021,Roma,no2 µg/m³,IT2012A,5642.0,16.61378943637008,14.49778206011602,1.0,6.0,12.0,23.0,95.0
2021,Roma,no2 µg/m³,L.GO MAGNA GRECIA,5525.0,37.15185520361991,22.12580706843094,1.0,21.0,33.0,49.0,174.0
2021,Roma,no2 µg/m³,L.GO PERESTRELLO,990.0,41.968686868686866,21.068956775997396,1.0,27.0,39.0,53.0,113.0
2021,Roma,no2 µg/m³,Malagrotta,976.0,24.415983606557376,17.38614569739403,0.0,11.0,20.0,35.0,82.0
2021,Roma,no2 µg/m³,TIBURTINA,5794.0,35.61063168795305,20.027512515722286,0.0,21.0,33.0,46.0,145.0
2021,Roma,no2 µg/m³,VILLA ADA,5787.0,20.998444790046655,12.520201346484019,1.0,12.0,18.0,27.0,105.0
2021,Roma,o3 µg/m³,ARENULA,1026.0,17.373294346978557,14.17142532945777,2.0,6.0,13.0,26.0,71.0
2021,Roma,o3 µg/m³,BUFALOTTA,982.0,21.5122199592668,18.569135588224682,0.0,4.0,17.0,36.0,74.0
2021,Roma,o3 µg/m³,CIPRO,7105.0,43.91815622800844,28.777392595304054,2.0,18.0,42.0,66.0,136.0
2021,Roma,o3 µg/m³,IT1176A,5881.0,49.61528651589866,32.99996092489498,2.0,21.0,48.0,74.0,162.0
2021,Roma,o3 µg/m³,IT1835A,5856.0,41.451588114754095,26.77892228873841,2.0,19.0,41.0,61.0,135.0
2021,Roma,o3 µg/m³,IT1906A,5953.0,36.798840920544265,25.842905014408274,2.0,14.0,36.0,55.0,207.0
2021,Roma,o3 µg/m³,IT2012A,6051.0,58.13592794579408,29.648097089618894,2.0,36.0,58.0,79.0,161.0
