city,station_name,parameter,sensor_id,locality,timezone,is_mobile,is_monitor,distance,country,owner,provider,latitude,longitude,datetime_from,datetime_to
Torino,Settimo T. - Vivaldi,no2 µg/m³,24475,Via Milano 3 c/o Scuola Elementare Vivaldi,Europe/Rome,False,True,11280.45489673,Italy,Unknown Governmental Organization,EEA,45.143199999955065,7.778200000105638,2020-05-06T18:00:00+02:00,2026-01-28T21:00:00+01:00
Torino,Borgaro T. - Caduti,no2 µg/m³,24477,Via Italia c/o Giardini dei caduti Borgaresi,Europe/Rome,False,True,9846.57382143,Italy,Unknown Governmental Organization,EEA,45.15460000007572,7.658000000045912,2020-05-06T18:00:00+02:00,2026-01-28T21:00:00+01:00
Torino,Borgaro T. - Caduti,o3 µg/m³,24476,Via Italia c/o Giardini dei caduti Borgaresi,Europe/Rome,False,True,9846.57382143,Italy,Unknown Governmental Organization,EEA,45.15460000007572,7.658000000045912,2020-05-06T18:00:00+02:00,2026-01-28T21:00:00+01:00
Torino,Torino - Rebaudengo,no2 µg/m³,24552,Piazza Rebaudengo 23,Europe/Rome,False,True,4168.3335693,Italy,Unknown Governmental Organization,EEA,45.10406999997421,7.695340000169694,2020-05-06T18:00:00+02:00,2026-01-28T21:00:00+01:00
Torino,Torino - Consolata,no2 µg/m³,24555,"Via Consolata 10, Torino",Europe/Rome,False,True,959.0165624,Italy,Unknown Governmental Organization,EEA,45.07579999974337,7.678199999919933,2020-05-06T18:00:00+02:00,2026-01-28T21:00:00+01:00
Torino,Torino - Rubino,no2 µg/m³,24821,via Edoardo Rubino c/o giardini Rubino,Europe/Rome,False,True,5294.2243153,Italy,Unknown Governmental Organization,EEA,45.04189999981362,7.625899999636858,2020-05-06T18:00:00+02:00,2026-01-28T21:00:00+01:00
Torino,Torino - Rubino,o3 µg/m³,24820,via Edoardo Rubino c/o giardini Rubino,Europe/Rome,False,True,5294.2243153,Italy,Unknown Governmental Organization,EEA,45.04189999981362,7.625899999636858,2020-05-06T18:00:00+02:00,2026-01-28T21:00:00+01:00
Torino,Torino - Rubino,pm10 µg/m³,1764647,via Edoardo Rubino c/o giardini Rubino,Europe/Rome,False,True,5294.2243153,Italy,Unknown Governmental Organization,EEA,45.04189999981362,7.625899999636858,2020-05-06T18:00:00+02:00,2026-01-28T21:00:00+01:00
Torino,Torino - Rubino,pm25 µg/m³,1702604,via Edoardo Rubino c/o giardini Rubino,Europe/Rome,False,True,5294.2243153,Italy,Unknown Governmental Organization,EEA,45.04189999981362,7.625899999636858,2020-05-06T18:00:00+02:00,2026-01-28T21:00:00+01:00
Torino,Torino Lingotto,no2 µg/m³,7774721,"Viale Augusto Monti, 21 zona Lingotto",Europe/Rome,False,True,5432.01239626,Italy,Unknown Governmental Organization,EEA,45.0248999997497,7.649099999758992,2024-01-29T00:00:00+01:00,2026-01-28T21:00:00+01:00
Torino,Torino Lingotto,o3 µg/m³,7772972,"Viale Augusto Monti, 21 zona Lingotto",Europe/Rome,False,True,5432.01239626,Italy,Unknown Governmental Organization,EEA,45.0248999997497,7.649099999758992,2024-01-29T00:00:00+01:00,2026-01-28T21:00:00+01:00
Milano,S. GIULIANO,no2 µg/m³,24090,via Milano - San Giuliano Milanese (MI),Europe/Rome,False,True,10567.53590669,Italy,Unknown Governmental Organization,EEA,45.3952800000411,9.28277999958692,2020-05-06T16:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,MILANO - SENATO,no2 µg/m³,24161,VIA SENATO ANG MARINA - Milano (MI),Europe/Rome,False,True,909.793528,Italy,Unknown Governmental Organization,EEA,45.46972199987526,9.198055999928004,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,MILANO - SENATO,pm10 µg/m³,7773858,VIA SENATO ANG MARINA - Milano (MI),Europe/Rome,False,True,909.793528,Italy,Unknown Governmental Organization,EEA,45.46972199987526,9.198055999928004,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,MILANO - SENATO,pm25 µg/m³,7775178,VIA SENATO ANG MARINA - Milano (MI),Europe/Rome,False,True,909.793528,Italy,Unknown Governmental Organization,EEA,45.46972199987526,9.198055999928004,2020-05-06T17:00:00+02:00,2026-01-28T21:00:00+01:00
Milano,MILANO - V.LE LIGURIA,no2 µg/m³,7774184,STAZIONE METRO. ROMOLO - Milano (MI),Europe/Rome,False,True,1749.79707513,Italy,Unknown Governmental Organization,EEA,45.449169999877256,9.182499999917043,2024-01-29T00:00:00+01:00,2026-01-28T21:00:00+01:00
