City,Parameter,Year,Yearly Average (µg/m³),Current yearly limit (µg/m³),2030 yearly limit (µg/m³),Compliance (Yearly Average),Percent Above Current Standards,Percent Above 2030 Standards,Daily limit value (µg/m³),Days above limit value,Current days limit,2030 days limit,Compliance (Days),Flag,Median active sensors,Percent days avaiable
Firenze,no2 µg/m³,2021,18.96,40,20,Good (Below current limit and also below 2030 limit),Below current standards,Below 2030 standards,50,2,Not regualted,18,Good (Below 2030 limit),Medium,4.0,76.99
Firenze,no2 µg/m³,2022,20.91,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,4.549330847079824% above 2030 standards,50,1,Not regualted,18,Good (Below 2030 limit),High,4.0,89.32
Firenze,no2 µg/m³,2023,21.33,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,6.652291191660953% above 2030 standards,50,1,Not regualted,18,Good (Below 2030 limit),Medium,4.0,79.18
Firenze,no2 µg/m³,2024,22.49,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,12.453773080258678% above 2030 standards,50,0,Not regualted,18,Good (Below 2030 limit),Medium,5.0,40.27
Firenze,no2 µg/m³,2025,14.0,40,20,Good (Below current limit and also below 2030 limit),Below current standards,Below 2030 standards,50,0,Not regualted,18,Good (Below 2030 limit),Medium,4.0,44.93
Milano,no2 µg/m³,2021,39.23,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,96.15073532532132% above 2030 standards,50,70,Not regualted,18,Problematic (Above 2030 limit),Medium,7.0,75.34
Milano,no2 µg/m³,2024,28.78,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,43.88147975554355% above 2030 standards,50,15,Not regualted,18,Good (Below 2030 limit),Medium,10.0,51.51
Milano,no2 µg/m³,2025,24.22,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,21.107567656916395% above 2030 standards,50,1,Not regualted,18,Good (Below 2030 limit),Medium,10.0,54.25
Napoli,no2 µg/m³,2021,37.65,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,88.24702704060576% above 2030 standards,50,53,Not regualted,18,Problematic (Above 2030 limit),Medium,6.0,76.44
Napoli,no2 µg/m³,2023,38.3,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,91.48967362911785% above 2030 standards,50,43,Not regualted,18,Problematic (Above 2030 limit),Medium,6.0,71.78
Napoli,no2 µg/m³,2024,35.26,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,76.30732238575824% above 2030 standards,50,34,Not regualted,18,Problematic (Above 2030 limit),Medium,10.0,61.37
Napoli,no2 µg/m³,2025,27.77,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,38.84531933784445% above 2030 standards,50,0,Not regualted,18,Good (Below 2030 limit),Medium,8.0,38.63
Palermo,no2 µg/m³,2024,30.37,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,51.83516327157618% above 2030 standards,50,5,Not regualted,18,Good (Below 2030 limit),Medium,6.0,31.78
Palermo,no2 µg/m³,2025,22.95,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,14.731143694084237% above 2030 standards,50,1,Not regualted,18,Good (Below 2030 limit),Medium,6.0,6.58
Roma,no2 µg/m³,2021,31.73,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,58.63374177675844% above 2030 standards,50,21,Not regualted,18,Problematic (Above 2030 limit),Medium,9.0,73.97
Roma,no2 µg/m³,2022,30.5,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,52.506804576303324% above 2030 standards,50,16,Not regualted,18,Good (Below 2030 limit),High,15.0,95.62
Roma,no2 µg/m³,2023,28.39,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,41.9345800267874% above 2030 standards,50,8,Not regualted,18,Good (Below 2030 limit),High,16.0,85.48
Roma,no2 µg/m³,2024,28.91,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,44.57348939439654% above 2030 standards,50,3,Not regualted,18,Good (Below 2030 limit),High,13.0,100.0
Roma,no2 µg/m³,2025,26.62,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,33.07954862914817% above 2030 standards,50,0,Not regualted,18,Good (Below 2030 limit),High,13.0,100.0
Torino,no2 µg/m³,2021,35.03,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,75.15022703585441% above 2030 standards,50,50,Not regualted,18,Problematic (Above 2030 limit),Medium,5.0,75.62
Torino,no2 µg/m³,2022,32.76,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,63.78582499978873% above 2030 standards,50,44,Not regualted,18,Problematic (Above 2030 limit),High,5.0,89.59
Torino,no2 µg/m³,2023,28.68,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,43.38169797464866% above 2030 standards,50,14,Not regualted,18,Good (Below 2030 limit),Medium,5.0,78.63
Torino,no2 µg/m³,2024,27.69,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,38.43425456095797% above 2030 standards,50,17,Not regualted,18,Good (Below 2030 limit),Medium,6.0,56.71
Torino,no2 µg/m³,2025,23.64,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,18.219565631487832% above 2030 standards,50,1,Not regualted,18,Good (Below 2030 limit),Medium,6.0,50.96
Firenze,o3 µg/m³,2021,59.33,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,1.0,74.25
Firenze,o3 µg/m³,2022,64.03,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,1.0,81.92
Firenze,o3 µg/m³,2023,62.12,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,19.7,25,18,Problematic (Below current limit but above 2030 limit,Medium,1.0,76.16
Firenze,o3 µg/m³,2024,54.36,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,15.0,25,18,Good (Below current limit and also below 2030 limit,Low,1.0,39.73
Firenze,o3 µg/m³,2025,68.23,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,8.7,25,18,Good (Below current limit and also below 2030 limit,Low,1.0,45.75
Milano,o3 µg/m³,2021,45.02,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,2.0,73.97
Milano,o3 µg/m³,2024,58.23,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,4.0,51.23
Milano,o3 µg/m³,2025,70.9,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,4.0,54.25
Napoli,o3 µg/m³,2021,35.88,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,1.0,74.79
Napoli,o3 µg/m³,2023,63.33,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,1.0,69.86
Napoli,o3 µg/m³,2024,59.26,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,3.0,34.79
Napoli,o3 µg/m³,2025,70.5,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,8.7,25,18,Good (Below current limit and also below 2030 limit,Medium,3.0,38.08
Palermo,o3 µg/m³,2024,70.01,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,2.0,31.51
Palermo,o3 µg/m³,2025,71.87,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,2.0,6.03
Roma,o3 µg/m³,2021,43.31,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,6.0,74.52
Roma,o3 µg/m³,2022,50.49,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,High,11.0,95.62
