city,year,parameter,year_median_active_sensors_per_city_parameter,percent_days_avaiable_per_city_year,flag_city_parameter
Firenze,2021,no2 µg/m³,4.0,76.99,Medium
Firenze,2021,o3 µg/m³,1.0,74.25,Medium
Firenze,2022,no2 µg/m³,4.0,89.32,High
Firenze,2022,o3 µg/m³,1.0,81.92,Medium
Firenze,2023,no2 µg/m³,4.0,79.18,Medium
Firenze,2023,o3 µg/m³,1.0,76.16,Medium
Firenze,2023,pm10 µg/m³,3.0,61.1,Medium
Firenze,2023,pm25 µg/m³,1.0,57.53,Low
Firenze,2024,no2 µg/m³,5.0,40.27,Medium
Firenze,2024,o3 µg/m³,1.0,39.73,Low
Firenze,2024,pm10 µg/m³,5.0,20.0,Medium
Firenze,2024,pm25 µg/m³,2.0,19.18,Medium
Firenze,2025,no2 µg/m³,4.0,44.93,Medium
Firenze,2025,o3 µg/m³,1.0,45.75,Low
Milano,2021,no2 µg/m³,7.0,75.34,Medium
Milano,2021,o3 µg/m³,2.0,73.97,Medium
Milano,2024,no2 µg/m³,10.0,51.51,Medium
Milano,2024,o3 µg/m³,4.0,51.23,Medium
Milano,2024,pm10 µg/m³,2.0,51.51,Medium
Milano,2024,pm25 µg/m³,1.0,50.14,Low
Milano,2025,no2 µg/m³,10.0,54.25,Medium
Milano,2025,o3 µg/m³,4.0,54.25,Medium
Milano,2025,pm10 µg/m³,2.0,53.97,Medium
Milano,2025,pm25 µg/m³,1.0,52.88,Low
Napoli,2021,no2 µg/m³,6.0,76.44,Medium
Napoli,2021,o3 µg/m³,1.0,74.79,Medium
Napoli,2021,pm10 µg/m³,3.0,76.16,Medium
Napoli,2021,pm25 µg/m³,2.0,76.16,Medium
Napoli,2023,no2 µg/m³,6.0,71.78,Medium
Napoli,2023,o3 µg/m³,1.0,69.86,Medium
Napoli,2023,pm10 µg/m³,3.0,72.05,Medium
Napoli,2023,pm25 µg/m³,2.0,71.78,Medium
Napoli,2024,no2 µg/m³,10.0,61.37,Medium
Napoli,2024,o3 µg/m³,3.0,34.79,Medium
Napoli,2024,pm10 µg/m³,5.0,42.47,Medium
Napoli,2024,pm25 µg/m³,4.0,42.47,Medium
Napoli,2025,no2 µg/m³,8.0,38.63,Medium
Napoli,2025,o3 µg/m³,3.0,38.08,Medium
Napoli,2025,pm10 µg/m³,2.0,40.0,Medium
Napoli,2025,pm25 µg/m³,2.0,39.45,Medium
Palermo,2024,no2 µg/m³,6.0,31.78,Medium
Palermo,2024,o3 µg/m³,2.0,31.51,Medium
Palermo,2025,no2 µg/m³,6.0,6.58,Medium
Palermo,2025,o3 µg/m³,2.0,6.03,Medium
Roma,2021,no2 µg/m³,9.0,73.97,Medium
Roma,2021,o3 µg/m³,6.0,74.52,Medium
Roma,2022,no2 µg/m³,15.0,95.62,High
Roma,2022,o3 µg/m³,11.0,95.62,High
Roma,2023,no2 µg/m³,16.0,85.48,High
Roma,2023,o3 µg/m³,12.0,85.48,High
Roma,2024,no2 µg/m³,13.0,100.0,High
Roma,2024,o3 µg/m³,9.0,100.0,High
Roma,2025,no2 µg/m³,13.0,100.0,High
Roma,2025,o3 µg/m³,10.0,100.0,High
Torino,2021,no2 µg/m³,5.0,75.62,Medium
Torino,2021,o3 µg/m³,2.0,75.34,Medium
Torino,2022,no2 µg/m³,5.0,89.59,High
Torino,2022,o3 µg/m³,2.0,89.86,Medium
Torino,2022,pm10 µg/m³,1.0,56.99,Low
Torino,2022,pm25 µg/m³,1.0,64.66,Medium
Torino,2023,no2 µg/m³,5.0,78.63,Medium
Torino,2023,o3 µg/m³,2.0,78.08,Medium
Torino,2023,pm10 µg/m³,1.0,75.62,Medium
Torino,2023,pm25 µg/m³,1.0,75.07,Medium
Torino,2024,no2 µg/m³,6.0,56.71,Medium
Torino,2024,o3 µg/m³,3.0,56.71,Medium
Torino,2024,pm10 µg/m³,1.0,32.6,Low
Torino,2024,pm25 µg/m³,1.0,32.33,Low
Torino,2025,no2 µg/m³,6.0,50.96,Medium
Torino,2025,o3 µg/m³,3.0,50.68,Medium
Torino,2025,pm10 µg/m³,1.0,34.52,Low
Torino,2025,pm25 µg/m³,1.0,33.97,Low
