year,parameter,flag_city_parameter,annual_mean,annual_mean_median,annual_mean_max,annual_mean_median_gap,annual_mean_max_gap,annual_max_median_gap
2021,no2 µg/m³,Medium,35.37,31.59,85.39,3.78,-50.02,53.8
2022,no2 µg/m³,High,32.84,28.39,81.4,4.45,-48.56,53.01
2023,no2 µg/m³,Medium,28.81,26.86,74.05,1.95,-45.24,47.19
2024,no2 µg/m³,Low,27.52,26.28,67.76,1.24,-40.24,41.48
2025,no2 µg/m³,Low,23.42,22.88,57.86,0.54,-34.44,34.98
2021,o3 µg/m³,Medium,46.11,42.14,86.15,3.97,-40.04,44.01
2022,o3 µg/m³,Medium,55.06,51.48,97.44,3.58,-42.38,45.96
2023,o3 µg/m³,Medium,44.7,41.72,86.54,2.98,-41.84,44.82
2024,o3 µg/m³,Low,48.93,47.5,91.48,1.43,-42.55,43.98
2025,o3 µg/m³,Low,67.79,64.16,115.08,3.63,-47.29,50.92
2022,pm10 µg/m³,Very Low,25.29,24.49,51.18,0.8,-25.89,26.69
2023,pm10 µg/m³,Low,21.51,21.03,38.51,0.48,-17.0,17.48
2024,pm10 µg/m³,Very Low,25.38,25.23,43.0,0.15,-17.62,17.77
2025,pm10 µg/m³,Very Low,18.7,17.89,36.77,0.81,-18.07,18.88
2022,pm25 µg/m³,Low,18.0,17.57,34.71,0.43,-16.71,17.14
2023,pm25 µg/m³,Low,14.9,14.38,31.96,0.52,-17.06,17.58
2024,pm25 µg/m³,Very Low,18.08,18.05,32.11,0.03,-14.03,14.06
2025,pm25 µg/m³,Very Low,10.74,10.57,20.22,0.17,-9.48,9.65
