parameter,year,station_name,sensors_percent_coverage_per_year,count,mean,std,min,25%,50%,75%,max
no2 µg/m³,2021,Borgaro T. - Caduti,89.04,6064.0,25.261378627968337,13.299889009976106,6.625,13.791666666666666,22.91304347826087,36.41666666666666,74.3
no2 µg/m³,2021,Settimo T. - Vivaldi,89.59,6094.0,31.480472595996062,15.236278734659654,11.583333333333334,19.36842105263158,26.916666666666668,39.22727272727273,82.25
no2 µg/m³,2021,Torino - Consolata,89.32,5962.0,44.55266689030527,16.09767987956643,15.208333333333334,32.875,41.708333333333336,52.70170454545455,104.3
no2 µg/m³,2021,Torino - Rebaudengo,89.59,6045.0,49.83093465674111,17.672409156725685,19.416666666666668,37.083333333333336,46.73913043478261,58.3,116.9
no2 µg/m³,2021,Torino - Rubino,88.77,5934.0,25.74974721941355,14.429771957095754,0.0,14.666666666666666,21.91304347826087,34.733695652173914,66.75
no2 µg/m³,2022,Borgaro T. - Caduti,89.59,6865.0,22.708958485069193,12.520921802960261,4.826086956521739,12.416666666666666,19.375,30.541666666666668,63.5
no2 µg/m³,2022,Settimo T. - Vivaldi,94.79,7387.0,27.60092053607689,13.70190506391876,8.791666666666666,16.416666666666668,23.75,37.19642857142857,74.20833333333333
no2 µg/m³,2022,Torino - Consolata,93.15,7160.0,39.44148044692737,14.791991070206809,10.9,29.61904761904762,35.68181818181818,45.69565217391305,87.82608695652173
no2 µg/m³,2022,Torino - Rebaudengo,94.52,7487.0,47.501669560571656,16.152155072577855,15.208333333333334,36.375,44.09090909090909,55.65217391304348,109.47826086956522
no2 µg/m³,2022,Torino - Rubino,93.97,7361.0,26.22116560249966,14.794559510171228,2.0,13.416666666666666,22.17391304347826,38.25,65.54166666666667
no2 µg/m³,2023,Borgaro T. - Caduti,81.92,6567.0,19.216841784680977,10.717910230474326,4.708333333333333,11.375,16.208333333333332,24.70833333333333,54.875
no2 µg/m³,2023,Settimo T. - Vivaldi,79.45,6341.0,22.65052830783788,11.637444731518949,6.5,14.045454545454543,19.75,27.791666666666668,73.95652173913044
no2 µg/m³,2023,Torino - Consolata,81.1,6546.0,33.0506416131989,11.950177360517628,12.0,24.0,30.25,39.26086956521739,76.58333333333333
no2 µg/m³,2023,Torino - Rebaudengo,81.92,6626.0,42.67657712043465,13.306445675985481,18.20833333333333,33.291666666666664,40.79166666666666,50.125,95.25
no2 µg/m³,2023,Torino - Rubino,81.92,6622.0,26.138402295379038,11.423283658975883,0.6521739130434783,17.614583333333332,23.70833333333333,34.0,64.5
no2 µg/m³,2024,Borgaro T. - Caduti,91.51,4581.0,18.085352543112858,12.154938663615853,4.476190476190476,8.791666666666666,12.958333333333334,24.416666666666668,56.375
no2 µg/m³,2024,Settimo T. - Vivaldi,90.68,4576.0,19.229458041958043,11.590063365764035,3.458333333333333,10.083333333333334,16.875,25.043478260869566,57.083333333333336
no2 µg/m³,2024,Torino - Consolata,90.68,4660.0,34.29914163090129,13.731218147903043,14.75,23.91304347826087,30.17391304347826,43.75,69.79166666666667
no2 µg/m³,2024,Torino - Rebaudengo,90.68,4558.0,40.75208424747696,14.586086457592186,16.75,29.74375,36.130434782608695,48.375,83.29166666666667
no2 µg/m³,2024,Torino - Rubino,90.68,4645.0,26.075134553283096,11.94267122600041,8.458333333333334,16.0,23.20833333333333,33.91304347826087,57.583333333333336
no2 µg/m³,2024,Torino Lingotto,82.47,3839.0,26.452461578536077,11.620406296395371,7.75,16.904761904761905,25.416666666666668,32.25,59.333333333333336
no2 µg/m³,2025,Borgaro T. - Caduti,94.25,4059.0,11.017245627001724,4.809548671091923,4.818181818181818,8.291666666666666,9.791666666666666,12.291666666666668,42.41666666666666
no2 µg/m³,2025,Settimo T. - Vivaldi,91.23,3830.0,29.155091383812007,6.149264882021212,16.25,25.36381074168798,28.863636363636363,32.81818181818182,52.833333333333336
no2 µg/m³,2025,Torino - Consolata,91.78,3972.0,25.159365558912388,7.755744443557287,12.08695652173913,20.25,23.999094202898554,27.705882352941178,70.61538461538461
