year,city,parameter,station_name,sensor_id,mean_sensor_percent_coverage_per_day,sensors_percent_coverage_per_year,valid_sensor
2021,Firenze,no2 µg/m³,FI-BASSI,24526,87.37,86.85,True
2021,Firenze,no2 µg/m³,FI-MOSSE,24528,88.19,90.41,True
2021,Firenze,no2 µg/m³,FI-SCANDICCI,24392,87.46,90.14,True
2021,Firenze,no2 µg/m³,FI-SETTIGNANO,23963,87.0,88.22,True
2021,Firenze,o3 µg/m³,FI-SETTIGNANO,23964,87.67,89.59,True
2021,Milano,no2 µg/m³,LIMITO,24264,91.98,88.49,True
2021,Milano,no2 µg/m³,MILANO - SENATO,24161,91.9,83.56,True
2021,Milano,no2 µg/m³,MILANO - V.LE MARCHE,24282,91.61,87.12,True
2021,Milano,no2 µg/m³,MILANO - VERZIERE,24266,91.15,85.21,True
2021,Milano,no2 µg/m³,MILANO PASCAL CITT� STUDI,24273,91.28,87.95,True
2021,Milano,no2 µg/m³,S. GIULIANO,24090,90.89,81.37,True
2021,Milano,no2 µg/m³,SESTO S.GIOVANNI,24280,91.85,89.04,True
2021,Milano,o3 µg/m³,LIMITO,24263,87.2,87.12,True
2021,Milano,o3 µg/m³,MILANO PASCAL CITT� STUDI,24272,89.74,89.04,True
2021,Napoli,no2 µg/m³,IT0898A,24969,86.78,90.14,True
2021,Napoli,no2 µg/m³,IT1495A,24984,86.75,90.14,True
2021,Napoli,no2 µg/m³,IT1496A,24414,90.78,90.68,True
2021,Napoli,no2 µg/m³,IT1497A,24412,86.29,91.23,True
2021,Napoli,no2 µg/m³,NA07 ENTE FERROVIE,24979,89.53,90.68,True
2021,Napoli,no2 µg/m³,NA09 I.T.I.S. ARGINE,24982,86.72,90.14,True
2021,Napoli,o3 µg/m³,IT1497A,24411,86.37,91.23,True
2021,Napoli,pm10 µg/m³,IT0898A,24512,89.91,90.96,True
2021,Napoli,pm10 µg/m³,NA07 ENTE FERROVIE,24417,90.69,90.68,True
2021,Napoli,pm10 µg/m³,NA09 I.T.I.S. ARGINE,24416,90.64,90.68,True
2021,Napoli,pm25 µg/m³,IT0898A,24511,89.88,90.96,True
2021,Napoli,pm25 µg/m³,NA09 I.T.I.S. ARGINE,24415,90.64,90.68,True
2021,Roma,no2 µg/m³,ARENULA,21941,86.6,13.97,False
2021,Roma,no2 µg/m³,BUFALOTTA,21912,85.63,13.42,False
2021,Roma,no2 µg/m³,C.SO FRANCIA,21874,86.6,13.97,False
2021,Roma,no2 µg/m³,CIPRO,21903,86.55,13.97,False
2021,Roma,no2 µg/m³,CIPRO,24843,87.56,86.03,True
2021,Roma,no2 µg/m³,Fermi,21864,86.23,84.93,True
2021,Roma,no2 µg/m³,IT1176A,24474,86.27,84.93,True
2021,Roma,no2 µg/m³,IT1835A,24845,87.52,78.63,True
2021,Roma,no2 µg/m³,IT1906A,24804,85.6,81.64,True
2021,Roma,no2 µg/m³,IT2012A,24778,86.48,85.48,True
2021,Roma,no2 µg/m³,L.GO MAGNA GRECIA,21915,84.98,85.75,True
2021,Roma,no2 µg/m³,L.GO PERESTRELLO,21885,86.56,13.97,False
2021,Roma,no2 µg/m³,Malagrotta,21948,85.56,13.97,False
2021,Roma,no2 µg/m³,TIBURTINA,21866,86.59,86.85,True
2021,Roma,no2 µg/m³,VILLA ADA,21950,86.62,87.67,True
2021,Roma,o3 µg/m³,ARENULA,21947,90.11,13.97,False
2021,Roma,o3 µg/m³,BUFALOTTA,21913,89.9,13.42,False
2021,Roma,o3 µg/m³,CIPRO,21914,90.11,13.97,False
2021,Roma,o3 µg/m³,CIPRO,24842,91.62,86.03,True
2021,Roma,o3 µg/m³,IT1176A,24473,88.69,85.48,True
2021,Roma,o3 µg/m³,IT1835A,24844,90.01,84.66,True
